ticker,market,release_date,report_type,source
WBC.AX,AU,2019-05-06,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2019-11-04,FY,HAND_CODED_COMPANY_IR
WBC.AX,AU,2020-05-04,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2020-11-02,FY,HAND_CODED_COMPANY_IR
WBC.AX,AU,2021-05-03,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2021-11-01,FY,HAND_CODED_COMPANY_IR
WBC.AX,AU,2022-05-09,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2022-11-07,FY,HAND_CODED_COMPANY_IR
WBC.AX,AU,2023-05-08,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2023-11-06,FY,HAND_CODED_COMPANY_IR
WBC.AX,AU,2024-05-06,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2024-11-04,FY,HAND_CODED_COMPANY_IR
WBC.AX,AU,2025-05-05,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2015-02-18,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2015-08-20,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2016-02-17,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2016-08-25,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2017-02-15,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2017-08-17,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2018-02-21,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2018-08-16,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2019-02-21,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2019-08-29,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2020-02-19,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2020-08-20,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2021-02-18,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2021-08-26,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2022-02-16,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2022-08-26,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2023-02-15,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2023-08-25,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2024-02-15,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2024-08-29,FY,HAND_CODED_COMPANY_IR
WES.AX,AU,2025-02-20,H1,HAND_CODED_COMPANY_IR
WES.AX,AU,2025-08-28,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2015-05-08,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2015-10-30,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2016-05-06,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2016-10-28,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2017-05-05,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2017-10-27,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2018-05-04,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2018-11-02,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2019-05-03,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2019-11-01,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2020-05-08,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2020-11-06,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2021-05-07,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2021-10-29,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2022-05-06,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2022-10-28,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2023-05-05,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2023-10-27,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2024-05-03,FY,HAND_CODED_COMPANY_IR
MQG.AX,AU,2024-11-01,H1,HAND_CODED_COMPANY_IR
MQG.AX,AU,2025-05-09,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2015-02-12,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2015-08-13,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2016-02-11,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2016-08-11,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2017-02-16,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2017-08-17,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2018-02-15,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2018-08-16,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2019-02-14,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2019-08-15,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2020-02-13,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2020-08-13,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2021-02-18,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2021-08-12,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2022-02-17,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2022-08-11,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2023-02-16,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2023-08-17,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2024-02-15,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2024-08-15,FY,HAND_CODED_COMPANY_IR
TLS.AX,AU,2025-02-20,H1,HAND_CODED_COMPANY_IR
TLS.AX,AU,2025-08-14,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2015-02-12,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2015-08-06,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2016-02-11,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2016-08-03,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2017-02-08,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2017-08-02,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2018-02-07,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2018-08-01,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2019-02-27,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2019-08-01,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2020-02-26,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2020-07-29,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2021-02-17,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2021-07-28,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2022-02-23,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2022-07-27,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2023-02-22,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2023-07-26,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2024-02-21,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2024-07-31,H1,HAND_CODED_COMPANY_IR
RIO.AX,AU,2025-02-19,FY,HAND_CODED_COMPANY_IR
RIO.AX,AU,2025-07-30,H1,HAND_CODED_COMPANY_IR
