ticker,market,source,disclosure_period,yfinance_inst_pct,refined_inst_pct,state_soe_pct,controlling_family_pct,promoter_pct,fii_pct,dii_pct,public_pct,institutions_breakdown_notes
WALMEX.MX,MX,simplywallst,2026-04,0.13196,0.129,0.0,0.712,0.0,0.0,0.0,0.159,"Walmart Inc parent 71.2; Inst 12.9"
AMXB.MX,MX,simplywallst,2026-04,0.069860004,0.16,0.0,0.667,0.0,0.0,0.0,0.173,"Slim family trusts 47.7 private + 19 insiders = 66.7; Inst 16"
GFNORTEO.MX,MX,simplywallst,2026-04,0.42558,0.402,0.0,0.0,0.0,0.0,0.0,0.598,"No dominant controller; Inst 40.2"
FEMSAUBD.MX,MX,simplywallst,2026-04,0.21014999,0.0817,0.0,0.0,0.0,0.0,0.0,0.918,"Widely dispersed post-KOF divestment; Inst 8.17 (news 2024 reported 55% institutional earlier; current structure more dispersed)"
CEMEXCPO.MX,MX,simplywallst,2026-04,0.24355,0.565,0.0,0.0122,0.0,0.0,0.0,0.423,"Insiders 1.22; Inst 56.5"
BIMBOA.MX,MX,simplywallst,2026-04,0.060310002,0.0557,0.0,0.681,0.0,0.0,0.0,0.264,"Servitje-family Normaciel 41 + private 68.1; Inst 5.57"
GMEXICOB.MX,MX,simplywallst,2026-04,0.18514,0.27,0.0,0.598,0.0,0.0,0.0,0.131,"Larrea family (EIM 40.6 + 19.2 insider) = 59.8 controlling; Inst 27"
KOFUBL.MX,MX,simplywallst,2026-04,0.31076,0.144,0.0,0.75,0.0,0.0,0.0,0.106,"FEMSA 47.2 + Coca-Cola Co 27.8 = 75 controlling; Inst 14.4"
TLEVISACPO.MX,MX,simplywallst,2026-04,0.12199,0.36,0.0,0.41,0.0,0.0,0.0,0.13,"Azcarraga/Tricio/Angoitia insiders 41 + Private 9.8; Inst ~36 (approx from news, news reported 53 earlier)"
GRUMAB.MX,MX,simplywallst,2026-04,,0.194,0.0,0.0,0.0,0.0,0.0,0.806,"No dominant controller; Inst 19.4 (yfinance None)"
# === China (Simply Wall St + annual reports, Apr 2026) ===
# refined_inst_pct = Institutions (excluding State/Gov + Private Companies controlling + Sovereign WF when from SOE)
# For CH A-shares: SOE parent company and State/Gov are systematically UNDERCOUNTED by yfinance
600519.SS,CH,simplywallst,2026-04,0.093210004,0.201,0.544,0.0,0.0,0.0,0.0,0.255,"Moutai Group SOE parent 54.4 (state-controlled via Guizhou SASAC); Inst 20.1 incl QFII+funds"
601398.SS,CH,simplywallst,2026-04,0.07453,0.474,0.311,0.0,0.0,0.0,0.0,0.171,"ICBC: MoF 31.1 state + Central Huijin 34.8 (captured in Inst); Inst 42.1 + Sovereign 5.33 = refined 47.43"
601318.SS,CH,simplywallst,2026-04,0.20679002,0.4315,0.0,0.0,0.0,0.0,0.0,0.436,"Ping An: Shenzhen Inv 6.74 + Charoen 5.07 dispersed; Inst 36.4 + Sovereign 6.74 = 43.15 (Private Co 6.5 excluded as strategic Chinese partner)"
600036.SS,CH,simplywallst,2026-04,0.18457001,0.253,0.276,0.0,0.0,0.0,0.0,0.378,"China Merchants Bank: CM Group SOE 27.6 (Private Co bucket = SOE parent); Inst 25.3"
600276.SS,CH,simplywallst-search,2023-10,0.1958,0.307,0.0,0.255,0.0,0.0,0.0,0.438,"Hengrui: Founder Jiang 25.5 private; Inst 30.7 per dcfmodeling summary"
600887.SS,CH,simplywallst,2026-04,0.25391,0.25,0.0,0.0,0.0,0.0,0.0,0.615,"Yili: Hohhot Inv Co 8.54 VC; Inst 25"
601166.SS,CH,simplywallst,2026-04,0.24201,0.319,0.0398,0.274,0.0,0.0,0.0,0.367,"Industrial Bank: Fujian Fin Holdings 16.6 private (SOE-linked) + State 3.98; Inst 31.9"
600030.SS,CH,simplywallst,2026-04,0.14468999,0.205,0.0009,0.184,0.0,0.0,0.0,0.531,"CITIC Securities: CITIC Group 18.4 private (SOE-controlled); Inst 20.5; Public 53.1"
600028.SS,CH,simplywallst,2026-04,0.04593,0.118,0.0,0.72,0.0,0.0,0.0,0.163,"Sinopec: China Petrochemical Group 69.9 private (100% SOE); Inst 11.8"
600585.SS,CH,simplywallst,2026-04,0.12755999,0.274,0.0,0.372,0.0,0.0,0.0,0.332,"Anhui Conch: Anhui Conch Holdings 37.2 private (Anhui Prov Gov controlled); Inst 27.4"
