month_end,ticker,n_days,month,month_name,year,rv_ann,log_rv_ann,is_winter,is_summer,lag_log_rv_ann
2008-02-29,NG=F,20,2,Feb,2008,0.3941309982525513,-0.9310719420698901,1,0,-1.159410213902696
2008-03-31,NG=F,20,3,Mar,2008,0.4524217246716083,-0.7931405149567821,1,0,-0.9310719420698901
2008-04-30,NG=F,22,4,Apr,2008,0.375884935602794,-0.9784722047596265,0,0,-0.7931405149567821
2008-05-31,NG=F,21,5,May,2008,0.3349002473139084,-1.093922560711339,0,0,-0.9784722047596265
2008-06-30,NG=F,21,6,Jun,2008,0.26540998076991057,-1.3264795512730116,0,1,-1.093922560711339
2008-07-31,NG=F,22,7,Jul,2008,0.4935715928001854,-0.7060873591001934,0,1,-1.3264795512730116
2008-08-31,NG=F,21,8,Aug,2008,0.48287691044551967,-0.7279935016058591,0,1,-0.7060873591001934
2008-09-30,NG=F,21,9,Sep,2008,0.5352916539890443,-0.6249435329820521,0,0,-0.7279935016058591
2008-10-31,NG=F,23,10,Oct,2008,0.482678628362884,-0.7284042124918794,0,0,-0.6249435329820521
2008-11-30,NG=F,19,11,Nov,2008,0.7644747152284912,-0.2685663277655999,1,0,-0.7284042124918794
2008-12-31,NG=F,22,12,Dec,2008,0.541991785956968,-0.6125044327182747,1,0,-0.2685663277655999
2009-01-31,NG=F,20,1,Jan,2009,0.49800908190999504,-0.6971369653567137,1,0,-0.6125044327182747
2009-02-28,NG=F,19,2,Feb,2009,0.4429669690489474,-0.8142600736831417,1,0,-0.6971369653567137
2009-03-31,NG=F,22,3,Mar,2009,0.7084978296304222,-0.344608283186479,1,0,-0.8142600736831417
2009-04-30,NG=F,21,4,Apr,2009,0.38922943278249034,-0.9435863077308291,0,0,-0.344608283186479
2009-05-31,NG=F,20,5,May,2009,0.7737897790533753,-0.25645504557347626,0,0,-0.9435863077308291
2009-06-30,NG=F,22,6,Jun,2009,0.6607585592242021,-0.4143667717803486,0,1,-0.25645504557347626
2009-07-31,NG=F,22,7,Jul,2009,0.7047021412082136,-0.3499800601860403,0,1,-0.4143667717803486
2009-08-31,NG=F,21,8,Aug,2009,0.6367503924840104,-0.45137754873640734,0,1,-0.3499800601860403
2009-09-30,NG=F,21,9,Sep,2009,1.4442278761078873,0.3675748369590938,0,0,-0.45137754873640734
2009-10-31,NG=F,22,10,Oct,2009,0.8680616197421738,-0.1414925763551169,0,0,0.3675748369590938
2009-11-30,NG=F,20,11,Nov,2009,0.7200358532240073,-0.32845427206736827,1,0,-0.1414925763551169
2009-12-31,NG=F,22,12,Dec,2009,0.6087660866826704,-0.4963211791724049,1,0,-0.32845427206736827
2010-01-31,NG=F,19,1,Jan,2010,0.5389004446056685,-0.6182244290185904,1,0,-0.4963211791724049
2010-02-28,NG=F,19,2,Feb,2010,0.3673547480038213,-1.0014272819855727,1,0,-0.6182244290185904
2010-03-31,NG=F,23,3,Mar,2010,0.3496841710947365,-1.050724900178795,1,0,-1.0014272819855727
2010-04-30,NG=F,21,4,Apr,2010,0.5282087883679192,-0.6382636409237094,0,0,-1.050724900178795
2010-05-31,NG=F,20,5,May,2010,0.3374402686605033,-1.0863667660793268,0,0,-0.6382636409237094
2010-06-30,NG=F,22,6,Jun,2010,0.48706780174157277,-0.7193519423015594,0,1,-1.0863667660793268
2010-07-31,NG=F,21,7,Jul,2010,0.39375431349722273,-0.9320281339887173,0,1,-0.7193519423015594
2010-08-31,NG=F,22,8,Aug,2010,0.3868656913466855,-0.9496776969721739,0,1,-0.9320281339887173
2010-09-30,NG=F,21,9,Sep,2010,0.3768053327041366,-0.9760265837682489,0,0,-0.9496776969721739
2010-10-31,NG=F,21,10,Oct,2010,0.7093225414125605,-0.3434449314784704,0,0,-0.9760265837682489
2010-11-30,NG=F,21,11,Nov,2010,0.45701363381386206,-0.7830420552422095,1,0,-0.3434449314784704
2010-12-31,NG=F,22,12,Dec,2010,0.4122713791621614,-0.8860734591850677,1,0,-0.7830420552422095
2011-01-31,NG=F,20,1,Jan,2011,0.3913558009823657,-0.9381381558377876,1,0,-0.8860734591850677
2011-02-28,NG=F,19,2,Feb,2011,0.34104832894798986,-1.0757310846207548,1,0,-0.9381381558377876
2011-03-31,NG=F,23,3,Mar,2011,0.3621123619227525,-1.0158007232662107,1,0,-1.0757310846207548
2011-04-30,NG=F,20,4,Apr,2011,0.2871462158525951,-1.2477637300536508,0,0,-1.0158007232662107
2011-05-31,NG=F,21,5,May,2011,0.40578953512200866,-0.9019206401880796,0,0,-1.2477637300536508
2011-06-30,NG=F,22,6,Jun,2011,0.31622561168029706,-1.1512993591305445,0,1,-0.9019206401880796
2011-07-31,NG=F,20,7,Jul,2011,0.285500461559323,-1.2535116332172458,0,1,-1.1512993591305445
2011-08-31,NG=F,23,8,Aug,2011,0.2722946325073592,-1.3008705911846952,0,1,-1.2535116332172458
2011-09-30,NG=F,21,9,Sep,2011,0.29800769699513757,-1.210635963967548,0,0,-1.3008705911846952
2011-10-31,NG=F,21,10,Oct,2011,0.4930581098896488,-0.707128241926845,0,0,-1.210635963967548
2011-11-30,NG=F,21,11,Nov,2011,0.44966366971084365,-0.7992553763034476,1,0,-0.707128241926845
2011-12-31,NG=F,21,12,Dec,2011,0.31237911571218285,-1.1635377143646126,1,0,-0.7992553763034476
2012-01-31,NG=F,20,1,Jan,2012,0.6848024945681719,-0.378624811392297,1,0,-1.1635377143646126
2012-02-29,NG=F,20,2,Feb,2012,0.5483491905721893,-0.6008429858922829,1,0,-0.378624811392297
2012-03-31,NG=F,22,3,Mar,2012,0.3691750890955983,-0.9964842512852978,1,0,-0.6008429858922829
2012-04-30,NG=F,20,4,Apr,2012,0.45920438096855865,-0.7782598935855334,0,0,-0.9964842512852978
2012-05-31,NG=F,22,5,May,2012,0.5298766307551765,-0.6351110716916578,0,0,-0.7782598935855334
2012-06-30,NG=F,21,6,Jun,2012,0.6624030030659293,-0.4118811423073403,0,1,-0.6351110716916578
2012-07-31,NG=F,21,7,Jul,2012,0.5253061694059047,-0.6437740065530102,0,1,-0.4118811423073403
2012-08-31,NG=F,23,8,Aug,2012,0.45746076479315434,-0.7820641579591245,0,1,-0.6437740065530102
2012-09-30,NG=F,19,9,Sep,2012,0.5468754002160908,-0.603534290046817,0,0,-0.7820641579591245
2012-10-31,NG=F,21,10,Oct,2012,0.47277037653386583,-0.7491454702384038,0,0,-0.603534290046817
2012-11-30,NG=F,21,11,Nov,2012,0.3652539563888002,-1.0071623964078031,1,0,-0.7491454702384038
2012-12-31,NG=F,20,12,Dec,2012,0.37594982337642674,-0.9782995929642316,1,0,-1.0071623964078031
2013-01-31,NG=F,21,1,Jan,2013,0.3781470443716339,-0.9724721527317098,1,0,-0.9782995929642316
2013-02-28,NG=F,19,2,Feb,2013,0.33366895470209645,-1.0976059311094966,1,0,-0.9724721527317098
2013-03-31,NG=F,20,3,Mar,2013,0.2709689139425718,-1.3057511733809792,1,0,-1.0976059311094966
2013-04-30,NG=F,22,4,Apr,2013,0.35450787456397104,-1.0370247201001865,0,0,-1.3057511733809792
2013-05-31,NG=F,22,5,May,2013,0.36454048839651754,-1.0091176544251304,0,0,-1.0370247201001865
2013-06-30,NG=F,20,6,Jun,2013,0.3230102847477148,-1.1300711149422102,0,1,-1.0091176544251304
2013-07-31,NG=F,22,7,Jul,2013,0.31709229308737663,-1.1485624020934035,0,1,-1.1300711149422102
2013-08-31,NG=F,22,8,Aug,2013,0.2517193432427347,-1.3794405294054082,0,1,-1.1485624020934035
2013-09-30,NG=F,20,9,Sep,2013,0.258006730802373,-1.3547696060195247,0,0,-1.3794405294054082
2013-10-31,NG=F,23,10,Oct,2013,0.29800649430958814,-1.2106399997290012,0,0,-1.3547696060195247
2013-11-30,NG=F,20,11,Nov,2013,0.23338271530343732,-1.4550756179840645,1,0,-1.2106399997290012
2013-12-31,NG=F,21,12,Dec,2013,0.3253293387412867,-1.1229172597716948,1,0,-1.4550756179840645
2014-01-31,NG=F,21,1,Jan,2014,0.7440245928619073,-0.2956811897734287,1,0,-1.1229172597716948
2014-02-28,NG=F,19,2,Feb,2014,0.9403663230903659,-0.06148577421823744,1,0,-0.2956811897734287
2014-03-31,NG=F,21,3,Mar,2014,0.36674653313540884,-1.003084314940579,1,0,-0.06148577421823744
2014-04-30,NG=F,21,4,Apr,2014,0.26564426798894863,-1.3255972036228958,0,0,-1.003084314940579
2014-05-31,NG=F,21,5,May,2014,0.2886991916987161,-1.242369992113786,0,0,-1.3255972036228958
2014-06-30,NG=F,21,6,Jun,2014,0.28851060956839136,-1.2430234187763984,0,1,-1.242369992113786
2014-07-31,NG=F,22,7,Jul,2014,0.28290355194395067,-1.2626492452781761,0,1,-1.2430234187763984
2014-08-31,NG=F,21,8,Aug,2014,0.28128799319767306,-1.2683762476618645,0,1,-1.2626492452781761
2014-09-30,NG=F,21,9,Sep,2014,0.32999878685067197,-1.1086663007384534,0,0,-1.2683762476618645
2014-10-31,NG=F,23,10,Oct,2014,0.3007381697316198,-1.2015152607892385,0,0,-1.1086663007384534
2014-11-30,NG=F,19,11,Nov,2014,0.5848803560564375,-0.5363479722289034,1,0,-1.2015152607892385
2014-12-31,NG=F,22,12,Dec,2014,0.6445646163882729,-0.43918020346196546,1,0,-0.5363479722289034
2015-01-31,NG=F,20,1,Jan,2015,0.7411254067175352,-0.299585428170765,1,0,-0.43918020346196546
2015-02-28,NG=F,19,2,Feb,2015,0.4584160591872296,-0.7799780810642984,1,0,-0.299585428170765
2015-03-31,NG=F,22,3,Mar,2015,0.4113630759225707,-0.8882790580455798,1,0,-0.7799780810642984
2015-04-30,NG=F,21,4,Apr,2015,0.40521892866068465,-0.9033277933337236,0,0,-0.8882790580455798
2015-05-31,NG=F,20,5,May,2015,0.35405592641316147,-1.0383003941085847,0,0,-0.9033277933337236
2015-06-30,NG=F,22,6,Jun,2015,0.3967938220864644,-0.9243384730311701,0,1,-1.0383003941085847
2015-07-31,NG=F,22,7,Jul,2015,0.318233200798642,-1.1449708291165188,0,1,-0.9243384730311701
2015-08-31,NG=F,21,8,Aug,2015,0.30851060616645753,-1.1759990564336384,0,1,-1.1449708291165188
2015-09-30,NG=F,21,9,Sep,2015,0.2606835531352963,-1.3444480473542262,0,0,-1.1759990564336384
2015-10-31,NG=F,22,10,Oct,2015,0.5777100101223446,-0.548683248800733,0,0,-1.3444480473542262
2015-11-30,NG=F,20,11,Nov,2015,0.3895185706572725,-0.9428437366120815,1,0,-0.548683248800733
2015-12-31,NG=F,22,12,Dec,2015,0.6689822293608565,-0.4019977821949674,1,0,-0.9428437366120815
2016-01-31,NG=F,19,1,Jan,2016,0.4611866043308479,-0.7739525362587338,1,0,-0.4019977821949674
2016-02-29,NG=F,20,2,Feb,2016,0.5615195119298179,-0.5771087557550028,1,0,-0.7739525362587338
2016-03-31,NG=F,22,3,Mar,2016,0.39683116911735417,-0.924244355453394,1,0,-0.5771087557550028
2016-04-30,NG=F,21,4,Apr,2016,0.5346180907900858,-0.6262026359881343,0,0,-0.924244355453394
2016-05-31,NG=F,21,5,May,2016,0.544267635281053,-0.6083141764874306,0,0,-0.6262026359881343
2016-06-30,NG=F,22,6,Jun,2016,0.43909230175250075,-0.8230456334458531,0,1,-0.6083141764874306
2016-07-31,NG=F,20,7,Jul,2016,0.44772760383434035,-0.8035702586461159,0,1,-0.8230456334458531
2016-08-31,NG=F,23,8,Aug,2016,0.3584713065920819,-1.0259066595456763,0,1,-0.8035702586461159
2016-09-30,NG=F,21,9,Sep,2016,0.33182736140678964,-1.1031404410730135,0,0,-1.0259066595456763
2016-10-31,NG=F,19,10,Oct,2016,0.5930371839065329,-0.5224981772175007,0,0,-1.1031404410730135
2016-11-30,NG=F,19,11,Nov,2016,0.4850440860410516,-0.7235154931220079,1,0,-0.5224981772175007
2016-12-31,NG=F,21,12,Dec,2016,0.5637385817838778,-0.5731646424122667,1,0,-0.7235154931220079
2017-01-31,NG=F,20,1,Jan,2017,0.6191322961696887,-0.47943630349598826,1,0,-0.5731646424122667
2017-02-28,NG=F,19,2,Feb,2017,0.47923394708588174,-0.7355663935258203,1,0,-0.47943630349598826
2017-03-31,NG=F,23,3,Mar,2017,0.3087488873330814,-1.175226994825937,1,0,-0.7355663935258203
2017-04-30,NG=F,19,4,Apr,2017,0.33187619247818484,-1.1029932938377833,0,0,-1.175226994825937
2017-05-31,NG=F,22,5,May,2017,0.33006172814115786,-1.1084755870410057,0,0,-1.1029932938377833
2017-06-30,NG=F,22,6,Jun,2017,0.28253662464819057,-1.2639470920264426,0,1,-1.1084755870410057
2017-07-31,NG=F,20,7,Jul,2017,0.36187268876412804,-1.0164628175101527,0,1,-1.2639470920264426
2017-08-31,NG=F,23,8,Aug,2017,0.2397697321262148,-1.4280762656805144,0,1,-1.0164628175101527
2017-09-30,NG=F,20,9,Sep,2017,0.3261358021533701,-1.1204414133344416,0,0,-1.4280762656805144
2017-10-31,NG=F,22,10,Oct,2017,0.41590128908045754,-0.8773073327419034,0,0,-1.1204414133344416
2017-11-30,NG=F,21,11,Nov,2017,0.4256454185274477,-0.8541486301836316,1,0,-0.8773073327419034
2017-12-31,NG=F,20,12,Dec,2017,0.4827859159441141,-0.7281819617996,1,0,-0.8541486301836316
2018-01-31,NG=F,21,1,Jan,2018,0.6863567105890382,-0.37635780012087405,1,0,-0.7281819617996
2018-02-28,NG=F,19,2,Feb,2018,0.3160467282818725,-1.1518652020178297,1,0,-0.37635780012087405
2018-03-31,NG=F,21,3,Mar,2018,0.20066797747043746,-1.6061035901180558,1,0,-1.1518652020178297
2018-04-30,NG=F,21,4,Apr,2018,0.21511870438861752,-1.5365652897775899,0,0,-1.6061035901180558
2018-05-31,NG=F,22,5,May,2018,0.22645375715461152,-1.4852145175758806,0,0,-1.5365652897775899
2018-06-30,NG=F,21,6,Jun,2018,0.2135394391322756,-1.543933736758444,0,1,-1.4852145175758806
2018-07-31,NG=F,21,7,Jul,2018,0.1823684396413163,-1.7017262445952834,0,1,-1.543933736758444
2018-08-31,NG=F,23,8,Aug,2018,0.1781460378170894,-1.7251516278900008,0,1,-1.7017262445952834
2018-09-30,NG=F,19,9,Sep,2018,0.2759321679446257,-1.2876002117875425,0,0,-1.7251516278900008
2018-10-31,NG=F,23,10,Oct,2018,0.33133904432419,-1.1046131247513022,0,0,-1.2876002117875425
2018-11-30,NG=F,21,11,Nov,2018,1.104834669011625,0.09969570297144784,1,0,-1.1046131247513022
2018-12-31,NG=F,19,12,Dec,2018,0.9704322526242959,-0.03001368548221543,1,0,0.09969570297144784
2019-01-31,NG=F,21,1,Jan,2019,0.8369238215301558,-0.17802222633817777,1,0,-0.03001368548221543
2019-02-28,NG=F,19,2,Feb,2019,0.3600564004969538,-1.0214945917560443,1,0,-0.17802222633817777
2019-03-31,NG=F,21,3,Mar,2019,0.23036634442500822,-1.4680844353745612,1,0,-1.0214945917560443
2019-04-30,NG=F,21,4,Apr,2019,0.2294026372373648,-1.4722765781133456,0,0,-1.4680844353745612
2019-05-31,NG=F,22,5,May,2019,0.28956631317914344,-1.239370947131715,0,0,-1.4722765781133456
2019-06-30,NG=F,20,6,Jun,2019,0.33428925187934916,-1.0957486371966363,0,1,-1.239370947131715
2019-07-31,NG=F,22,7,Jul,2019,0.3761181789404551,-0.9778518792832297,0,1,-1.0957486371966363
2019-08-31,NG=F,22,8,Aug,2019,0.3103285860733656,-1.1701235877833136,0,1,-0.9778518792832297
2019-09-30,NG=F,20,9,Sep,2019,0.3355573987315414,-1.09196225305596,0,0,-1.1701235877833136
2019-10-31,NG=F,23,10,Oct,2019,0.4171598216660211,-0.874285865224611,0,0,-1.09196225305596
2019-11-30,NG=F,20,11,Nov,2019,0.5421012398756895,-0.6123025055469244,1,0,-0.874285865224611
2019-12-31,NG=F,21,12,Dec,2019,0.4839391785287655,-0.7257960443586775,1,0,-0.6123025055469244
2020-01-31,NG=F,21,1,Jan,2020,0.3440942779330828,-1.0668395953983887,1,0,-0.7257960443586775
2020-02-29,NG=F,19,2,Feb,2020,0.4636613753294659,-0.7686007877341221,1,0,-1.0668395953983887
2020-03-31,NG=F,22,3,Mar,2020,0.5786564975023155,-0.547046246025065,1,0,-0.7686007877341221
2020-04-30,NG=F,21,4,Apr,2020,0.7650147809741515,-0.267860123807421,0,0,-0.547046246025065
2020-05-31,NG=F,20,5,May,2020,0.7510901349796357,-0.2862296144735672,0,0,-0.267860123807421
2020-06-30,NG=F,22,6,Jun,2020,0.6201088731602822,-0.4778602144877808,0,1,-0.2862296144735672
2020-07-31,NG=F,22,7,Jul,2020,0.5043580235011521,-0.6844688990103271,0,1,-0.4778602144877808
2020-08-31,NG=F,21,8,Aug,2020,0.7156548154217354,-0.3345573296360103,0,1,-0.6844688990103271
2020-09-30,NG=F,21,9,Sep,2020,1.1141716627053135,0.1081112254192955,0,0,-0.3345573296360103
2020-10-31,NG=F,22,10,Oct,2020,0.6375230574268962,-0.4501648340908424,0,0,0.1081112254192955
2020-11-30,NG=F,20,11,Nov,2020,0.564710729283687,-0.571441662512731,1,0,-0.4501648340908424
2020-12-31,NG=F,22,12,Dec,2020,0.7004968418445792,-0.3559654216455322,1,0,-0.571441662512731
2021-01-31,NG=F,19,1,Jan,2021,0.4953609789369432,-0.7024685318096378,1,0,-0.3559654216455322
2021-02-28,NG=F,19,2,Feb,2021,0.5995907210646454,-0.5115079880825004,1,0,-0.7024685318096378
2021-03-31,NG=F,23,3,Mar,2021,0.30635358194690543,-1.1830153475435732,1,0,-0.5115079880825004
2021-04-30,NG=F,21,4,Apr,2021,0.306809151978063,-1.1815293794969826,0,0,-1.1830153475435732
2021-05-31,NG=F,20,5,May,2021,0.25772954522027197,-1.3558445182243744,0,0,-1.1815293794969826
2021-06-30,NG=F,22,6,Jun,2021,0.33047905068171357,-1.1072120084415882,0,1,-1.3558445182243744
2021-07-31,NG=F,21,7,Jul,2021,0.29740795508485107,-1.2126504965416285,0,1,-1.1072120084415882
2021-08-31,NG=F,22,8,Aug,2021,0.38504895773794917,-0.954384789823164,0,1,-1.2126504965416285
2021-09-30,NG=F,21,9,Sep,2021,0.7100135327486493,-0.3424712489190542,0,0,-0.954384789823164
2021-10-31,NG=F,21,10,Oct,2021,0.8506553490972839,-0.1617482276267926,0,0,-0.3424712489190542
2021-11-30,NG=F,21,11,Nov,2021,0.8574531193682678,-0.1537887727272213,1,0,-0.1617482276267926
2021-12-31,NG=F,22,12,Dec,2021,0.8080871781322436,-0.21308533255312703,1,0,-0.1537887727272213
2022-01-31,NG=F,20,1,Jan,2022,1.921540596759284,0.6531272584390682,1,0,-0.21308533255312703
2022-02-28,NG=F,19,2,Feb,2022,0.9459903273098237,-0.0555229348135859,1,0,0.6531272584390682
2022-03-31,NG=F,23,3,Mar,2022,0.549475666157179,-0.5987907897274184,1,0,-0.0555229348135859
2022-04-30,NG=F,20,4,Apr,2022,0.715100900318369,-0.3353316269181346,0,0,-0.5987907897274184
2022-05-31,NG=F,21,5,May,2022,0.8176433286732956,-0.201329065984219,0,0,-0.3353316269181346
2022-06-30,NG=F,21,6,Jun,2022,1.1062801019360284,0.10100312775942563,0,1,-0.201329065984219
2022-07-31,NG=F,20,7,Jul,2022,0.9118536026421729,-0.09227582521173869,0,1,0.10100312775942563
2022-08-31,NG=F,23,8,Aug,2022,0.6110363334014809,-0.49259885610967047,0,1,-0.09227582521173869
2022-09-30,NG=F,21,9,Sep,2022,0.746576508160276,-0.29225717809141816,0,0,-0.49259885610967047
2022-10-31,NG=F,21,10,Oct,2022,0.8832130358308021,-0.12418884379603612,0,0,-0.29225717809141816
2022-11-30,NG=F,21,11,Nov,2022,0.9927072381127025,-0.00731948407356191,1,0,-0.12418884379603612
2022-12-31,NG=F,21,12,Dec,2022,1.0431806574617348,0.0422743704747725,1,0,-0.00731948407356191
2023-01-31,NG=F,20,1,Jan,2023,1.0821745529882472,0.07897249180130847,1,0,0.0422743704747725
2023-02-28,NG=F,19,2,Feb,2023,0.8803737036220425,-0.12740879844691844,1,0,0.07897249180130847
2023-03-31,NG=F,23,3,Mar,2023,0.9146658943392527,-0.08919642318611086,1,0,-0.12740879844691844
2023-04-30,NG=F,19,4,Apr,2023,0.8270315015716435,-0.1899124933034402,0,0,-0.08919642318611086
2023-05-31,NG=F,22,5,May,2023,0.658658280973997,-0.4175504207382593,0,0,-0.1899124933034402
2023-06-30,NG=F,21,6,Jun,2023,0.5853725287867998,-0.5355068330772635,0,1,-0.4175504207382593
2023-07-31,NG=F,20,7,Jul,2023,0.5088153701918702,-0.6756700587020619,0,1,-0.5355068330772635
2023-08-31,NG=F,23,8,Aug,2023,0.5771843082206031,-0.5495936384869594,0,1,-0.6756700587020619
2023-09-30,NG=F,20,9,Sep,2023,0.5328563719567573,-0.6295033621305818,0,0,-0.5495936384869594
2023-10-31,NG=F,22,10,Oct,2023,0.5527928262865894,-0.5927719836631881,0,0,-0.6295033621305818
2023-11-30,NG=F,22,11,Nov,2023,0.4818743697386141,-0.7300718426008297,1,0,-0.5927719836631881
2023-12-31,NG=F,20,12,Dec,2023,0.48301572889773464,-0.7277060608541309,1,0,-0.7300718426008297
2024-01-31,NG=F,21,1,Jan,2024,1.0738957728395904,0.0712929456042339,1,0,-0.7277060608541309
2024-02-29,NG=F,20,2,Feb,2024,0.8573542413387666,-0.1539040953364852,1,0,0.0712929456042339
2024-03-31,NG=F,20,3,Mar,2024,0.5679190939830429,-0.5657763105772494,1,0,-0.1539040953364852
2024-04-30,NG=F,22,4,Apr,2024,0.9265937078384238,-0.07624009661359735,0,0,-0.5657763105772494
2024-05-31,NG=F,22,5,May,2024,0.6361827471730565,-0.4522694185933487,0,0,-0.07624009661359735
2024-06-30,NG=F,19,6,Jun,2024,0.6693655705068703,-0.40142492489055825,0,1,-0.4522694185933487
2024-07-31,NG=F,22,7,Jul,2024,0.6973926700700319,-0.36040665516285253,0,1,-0.40142492489055825
2024-08-31,NG=F,22,8,Aug,2024,0.5591655844082799,-0.5813096342907302,0,1,-0.36040665516285253
2024-09-30,NG=F,20,9,Sep,2024,0.6534794591392802,-0.42544417848641053,0,0,-0.5813096342907302
2024-10-31,NG=F,23,10,Oct,2024,0.8721613824053892,-0.13678080063097364,0,0,-0.42544417848641053
2024-11-30,NG=F,20,11,Nov,2024,0.7489736240633493,-0.2890515109536681,1,0,-0.13678080063097364
2024-12-31,NG=F,21,12,Dec,2024,0.8025131902056343,-0.2200069877197284,1,0,-0.2890515109536681
2025-01-31,NG=F,21,1,Jan,2025,0.960124660050416,-0.040692148731401145,1,0,-0.2200069877197284
2025-02-28,NG=F,19,2,Feb,2025,0.7003503070344805,-0.3561746304956917,1,0,-0.040692148731401145
2025-03-31,NG=F,21,3,Mar,2025,0.5758509846316748,-0.5519063589934114,1,0,-0.3561746304956917
2025-04-30,NG=F,21,4,Apr,2025,0.7668342943724883,-0.2654845447986234,0,0,-0.5519063589934114
2025-05-31,NG=F,21,5,May,2025,0.7291526879831647,-0.3158721203681843,0,0,-0.2654845447986234
2025-06-30,NG=F,20,6,Jun,2025,0.7616685736458303,-0.2722437606325197,0,1,-0.3158721203681843
2025-07-31,NG=F,23,7,Jul,2025,0.450582637708071,-0.797213783221976,0,1,-0.2722437606325197
2025-08-31,NG=F,21,8,Aug,2025,0.4480026538558031,-0.8029561227994226,0,1,-0.797213783221976
2025-09-30,NG=F,21,9,Sep,2025,0.5940128694628679,-0.5208542940917875,0,0,-0.8029561227994226
2025-10-31,NG=F,23,10,Oct,2025,0.804475755511681,-0.21756444909866546,0,0,-0.5208542940917875
2025-11-30,NG=F,19,11,Nov,2025,0.4719223960167873,-0.7509407221329164,1,0,-0.21756444909866546
2025-12-31,NG=F,22,12,Dec,2025,0.9415493223414569,-0.06022854527730615,1,0,-0.7509407221329164
2026-01-31,NG=F,20,1,Jan,2026,2.8115615941902226,1.0337400564561592,1,0,-0.06022854527730615
2026-02-28,NG=F,19,2,Feb,2026,1.197819931401109,0.18050318071738644,1,0,1.0337400564561592
2026-03-31,NG=F,22,3,Mar,2026,0.5751456455039159,-0.5531319737303868,1,0,0.18050318071738644
2026-04-30,NG=F,21,4,Apr,2026,0.3626431047924921,-1.0143361107479518,0,0,-0.5531319737303868
2026-05-31,NG=F,20,5,May,2026,0.4897299813249807,-0.713901098286461,0,0,-1.0143361107479518
2026-06-30,NG=F,10,6,Jun,2026,0.3829317026719813,-0.959898627708021,0,1,-0.713901098286461
2007-05-31,UNG,22,5,May,2007,0.21956985156473582,-1.516084866728192,0,0,
2007-06-30,UNG,21,6,Jun,2007,0.3844808552800171,-0.9558612824853802,0,1,-1.516084866728192
2007-07-31,UNG,21,7,Jul,2007,0.47652993779735575,-0.7412247293256113,0,1,-0.9558612824853802
2007-08-31,UNG,23,8,Aug,2007,0.6174653424702385,-0.48213233760937224,0,1,-0.7412247293256113
2007-09-30,UNG,19,9,Sep,2007,0.5672060340794197,-0.5670326654579365,0,0,-0.48213233760937224
