section,location,description,value,unit,source_exp,notes
sec4_vt,body.tex:237,DM t-stat (GJR vs GARCH QLIKE),-0.17,t-stat,?,"No experiment JSON provides GJR vs GARCH QLIKE DM t=-0.17"
sec4_vt,body.tex:237,DM p-value (GJR vs GARCH),0.86,p-value,?,"No experiment JSON"
sec4_vt,body.tex:239,GJR VT Sharpe,1.108,ratio,?,"See Table 3 above"
sec4_vt,body.tex:239,GARCH VT Sharpe,0.994,ratio,?,"See Table 3 above"
sec4_vt,body.tex:239,GJR-GARCH advantage,0.114,ratio diff,?,"1.108-0.994; see Table 3"
sec4_cond,body.tex:294,Conditional leverage Sharpe improvement,+0.162,ratio diff,K558,"K558 full_sample sharpe_diff=0.162 — CONFIRMED"
sec4_cond,body.tex:294,Conditional leverage Harvey t-stat,4.79,t-stat,K558,"K558 test_1_harvey_dm t_stat=4.7929 — CONFIRMED"
sec4_cond,body.tex:294,Conditional leverage OOS wins,18/18,,K558,"K558 cross_oos split_a n_wins=5/5; need to check all splits"
sec5_tz,Table 4,Taiwan c2c Sharpe,1.473,ratio,?,"No experiment JSON directly provides TZ momentum 2012-2025 results"
sec5_tz,Table 4,Taiwan o2o Sharpe,0.87,ratio,?,"No experiment JSON provides implementable TZ strategy results"
sec5_tz,Table 4,Taiwan o2o t-stat,2.22,t-stat,?,"No experiment JSON"
sec5_tz,Table 4,Taiwan MDD,-12.8,%,?,"No experiment JSON"
sec5_tz,Table 4,Japan c2c Sharpe,1.306,ratio,?,"No experiment JSON"
sec5_tz,Table 4,Japan o2o Sharpe,0.78,ratio,?,"No experiment JSON"
sec5_tz,Table 4,TW+JP 50/50 c2c Sharpe,1.810,ratio,?,"No experiment JSON"
sec5_tz,Table 4,Global composite c2c Sharpe,1.610,ratio,?,"No experiment JSON"
sec5_tz,body.tex:352,Gap fraction of c2c return,87,%,K847,"K847 implies gap dominance but 87% claim not directly in JSON"
sec5_tz,body.tex:352,SPY-up gap mean,10.73,bp/day,K847,"K847 descriptive_statistics stock_gap mean=6.88bp; conditional means not extracted"
sec5_tz,body.tex:352,SPY-up gap t-stat,6.845,t-stat,?,"Not found in K847 JSON"
sec5_tz,body.tex:352,SPY-down gap mean,-8.91,bp/day,K847,"K847 conditional means not extracted directly"
sec5_tz,body.tex:382,Bootstrap 95% CI lower,0.65,ratio,?,"No experiment JSON"
sec5_tz,body.tex:382,Bootstrap 95% CI upper,2.24,ratio,?,"No experiment JSON"
sec5_tz,body.tex:384,Bonferroni threshold t,3.3,t-stat,?,"Theoretical calculation, reasonable"
sec5_tz,body.tex:384,HK t-stat (c2c),4.12,t-stat,?,"No experiment JSON provides per-market t-stats"
sec5_tz,body.tex:384,Australia t-stat (c2c),4.04,t-stat,?,"No experiment JSON"
sec5_tz,body.tex:384,Singapore t-stat (c2c),4.03,t-stat,?,"No experiment JSON"
sec5_tz,body.tex:384,Korea t-stat (c2c),3.83,t-stat,?,"No experiment JSON"
sec5_tz,body.tex:384,Taiwan t-stat (c2c),3.76,t-stat,?,"No experiment JSON"
sec5_tz,body.tex:384,Japan t-stat (c2c),3.69,t-stat,?,"No experiment JSON"
sec6_macro,body.tex:411,Import growth partial r,0.214,pearson r,?,"No experiment JSON provides macro indicators results"
sec6_macro,body.tex:411,Import OOS improvement,5.6,%,?,"No experiment JSON"
sec6_macro,body.tex:411,Import DM p-value,0.043,p-value,?,"No experiment JSON"
sec6_macro,body.tex:418,BCI level t-stat,-0.53,t-stat,?,"No experiment JSON"
sec6_macro,body.tex:418,BCI level p-value,0.60,p-value,?,"No experiment JSON"
sec6_macro,body.tex:430,Leading indicator t-stat,3.74,t-stat,?,"No experiment JSON"
sec6_macro,body.tex:430,Leading indicator R²,7.1,%,?,"No experiment JSON"
sec6_macro,body.tex:486,BCI momentum Sharpe full,0.413,ratio,experiments/k1180/k1180_results.json,"Errata 2026-05-26: paper originally 0.732 unreproducible; K1180 canonical 0.413 (2009-2026 full sample); footnote added"
sec6_macro,body.tex:486,BCI momentum Sharpe OOS 2018-2024,1.260,ratio,experiments/k1180/k1180_results.json,"K1180 reproduced 1.2694 — MATCH (<1% deviation)"
sec6_macro,body.tex:430,8.63/VIX Sharpe 2018-2024 sub-period,0.334,ratio,?,No experiment JSON
sec6_macro,body.tex:438,0050.TW ex-div vol increase,+32,%,?,"No experiment JSON"
sec6_macro,body.tex:438,0056.TW ex-div vol increase,+69,%,?,"No experiment JSON"
sec6_macro,body.tex:440,0050.TW fill rate,79,%,?,"No experiment JSON"
sec6_macro,body.tex:440,0056.TW fill rate,90,%,?,"No experiment JSON"
sec7_var,body.tex:463,GJR+Student-t VaR violations (2020-2026),8,count,K896,"K896 (2019-2026) GJR+Student-t=18 violations — MAJOR DIVERGENCE"
sec7_var,body.tex:463,VaR violation rate (Student-t),0.5,%,K896,"K896 GJR+Student-t=1.03% — DIVERGENT; CF=0.51% close"
sec7_var,body.tex:463,VaR Kupiec p-value,0.12,p-value,K896,"K896 GJR+Student-t Kupiec p=0.9163 — divergent from 0.12"
sec7_var,body.tex:463,Normal distribution violations,30,count,K896,"K896 GJR+Normal = 30/1756 = 1.7% — CONFIRMED"
sec7_var,body.tex:463,Normal violation rate,2.0,%,K896,"K896 = 1.71%; approximately matched"
sec7_var,body.tex:459,Skewed t eta (df),5.2,,?,"No experiment JSON provides skewed-t parameter estimates"
sec7_var,body.tex:459,Skewed t lambda,-0.05,,?,"No experiment JSON"
sec8_disc,Table 5 reconciliation,8.63/VIX Sharpe 2016-2026,0.690,ratio,K900,"K900 (2019-2026): 1.259; no 2016-2026 JSON"
sec8_disc,Table 5 reconciliation,8.63/VIX Sharpe 2018-2024,0.334,ratio,?,"No experiment JSON"
sec8_disc,Table 5 reconciliation,8.63/VIX+Leading Sharpe 2012-2026,0.999,ratio,?,"No experiment JSON"
sec8_disc,Table 5 reconciliation,VIX+Leading combo Sharpe 2012-2026,1.151,ratio,?,"No experiment JSON"
sec8_disc,body.tex:519,DM p for VIX+Leading combo,0.0005,p-value,?,"No experiment JSON"
sec8_disc,body.tex:527,TSMC VT Sharpe,1.121,ratio,?,"No experiment JSON"
sec8_disc,body.tex:527,Ex-TSMC VT Sharpe range,0.193-0.637,ratio,?,"No experiment JSON"
sec8_disc,body.tex:531,0050.TW full-sample gamma with TSMC decomp,0.124,coefficient,?,"K892 doesn't show this; TSMC decomp not in any JSON"
sec8_disc,body.tex:531,0050.TW t(gamma) with TSMC decomp,2.46,t-stat,?,"No experiment JSON"
sec8_disc,body.tex:533,TSMC explains 0050 return variance,52.5,%,?,"No experiment JSON"
sec8_disc,body.tex:481,Currency drag on SPY (TWD terms),-18,%,?,"No experiment JSON"
sec8_disc,body.tex:485,8.63/VIX Sharpe (TWD),0.69,,K900,"K900: 1.259 (2019-2026) — mismatch due to period"
