ticker,event_date_utc
ICICIBANK.NS,2024-10-26
ICICIBANK.NS,2025-01-25
ICICIBANK.NS,2025-04-19
ICICIBANK.NS,2025-07-19
ICICIBANK.NS,2025-10-18
INFY.NS,2024-01-11
INFY.NS,2024-04-18
INFY.NS,2024-07-18
INFY.NS,2024-10-17
INFY.NS,2025-01-16
INFY.NS,2025-04-17
INFY.NS,2025-07-23
INFY.NS,2025-10-16
MBG.DE,2024-03-20
MBG.DE,2024-04-30
MBG.DE,2024-07-26
MBG.DE,2024-10-25
MBG.DE,2025-02-20
MBG.DE,2025-04-30
MBG.DE,2025-07-29
MBG.DE,2025-10-28
META,2024-02-01
META,2024-04-24
META,2024-07-31
META,2024-10-30
META,2025-01-29
META,2025-04-30
META,2025-07-30
META,2025-10-29
NVDA,2024-02-21
NVDA,2024-05-22
NVDA,2024-08-28
NVDA,2024-11-20
NVDA,2025-02-26
NVDA,2025-05-28
NVDA,2025-08-27
NVDA,2025-11-19
RENT3.SA,2024-03-13
RENT3.SA,2024-05-09
RENT3.SA,2024-08-23
RENT3.SA,2024-11-20
RENT3.SA,2025-02-28
RENT3.SA,2025-05-09
RENT3.SA,2025-08-28
RENT3.SA,2025-11-14
SAP.DE,2024-01-23
SAP.DE,2024-04-22
SAP.DE,2024-07-22
SAP.DE,2024-10-21
SAP.DE,2025-01-28
SAP.DE,2025-04-22
SAP.DE,2025-07-22
SAP.DE,2025-10-22
TCS.NS,2024-01-11
TCS.NS,2024-04-12
TCS.NS,2024-07-11
TCS.NS,2024-10-10
TCS.NS,2025-01-09
TCS.NS,2025-04-10
TCS.NS,2025-07-10
TCS.NS,2025-10-09
